,Player,cluster,x,y
220,Jake Nerwinski\Jake-Nerwinski,0,-3714.9867037180693,231.17020601624859
221,Lee Nguyen\Lee-Nguyen,0,-4359.999240834773,-2204.7994429917007
222,Sam Nicholson\Sam-Nicholson,5,-16204.71987810393,132.20382870031247
223,Gonzalo Nicolás Martínez\Gonzalo-Nicolas-Martinez,6,869.8262465271323,-811.9324491672832
224,Nemanja Nikolić\Nemanja-Nikolic,5,-16927.518335083594,-1172.5881450116974
225,Ebenezer Ofori\Ebenezer-Ofori,0,-7214.85846595611,-1626.330082372777
226,Orji Okwonkwo\Orji-Okwonkwo,5,-15509.984102531462,-1338.5081368230237
227,Nedum Onuoha\Nedum-Onuoha,3,4624.083992512563,-1549.1236813841547
228,Ike Opara\Ike-Opara,6,2382.9792916689266,368.1055791672553
229,Jonathan Osorio\Jonathan-Osorio,0,-3867.3875914684886,-1881.3369894320185
230,David Ousted\David-Ousted,2,-11216.393716990022,3710.460900292112
231,Cristhian Paredes\Cristhian-Paredes,0,-5723.983910126117,-1734.4497056438381
232,Tim Parker\Tim-Parker,0,-2708.6903658608676,3437.198214082773
233,Michael Parkhurst\Michael-Parkhurst,0,-2472.7259141212444,-428.9232929544199
234,Keaton Parks\Keaton-Parks,6,-1703.1442668850464,-1001.145207215499
235,Cristian Penilla\Cristian-Penilla,2,-11019.45606183372,399.9449333673283
236,Fafà Picault\Fafa-Picault,5,-14429.81991596301,-1293.7637114695865
237,Samuel Piette\Samuel-Piette,1,12537.458406495682,-5380.01900143717
238,Diego Polenta\Diego-Polenta,1,14564.146869168251,3226.3071140449324
239,Andy Polo\Andy-Polo,2,-11621.140483009229,-972.0183695288879
240,Paxton Pomykal\Paxton-Pomykal,6,216.4265692597773,-2168.3213126396304
241,Alejandro Pozuelo\Alejandro-Pozuelo,1,14118.849999150727,-2679.2725918296046
242,Jack Price\Jack-Price,1,11333.794886566902,-254.51017440961917
243,Kacper Przybyłko\Kacper-Przybylko,2,-11937.914342310916,-2437.202845284286
244,Valeri Qazaishvili\Valeri-Qazaishvili,0,-7081.513242404722,-1676.910831740199
245,Darwin Quintero\Darwin-Quintero,0,-5990.517406807108,440.8320764161825
246,Jukka Raitala\Jukka-Raitala,3,9100.421206397825,-257.38278510228685
247,Eric Remedi\Eric-Remedi,3,7606.914543829391,-4131.018645658177
248,Yordy Reyna\Yordy-Reyna,2,-10839.948237171368,-574.1652842673581
249,Spencer Richey\Spencer-Richey,6,-381.57794702417675,5137.01369253206
250,Nick Rimando\Nick-Rimando,9,16929.974063071997,11454.298171856575
251,Alexander Ring\Alexander-Ring,4,29029.140823761136,-3411.47019264157
252,Robinho\Robinho,5,-18137.51843998478,-365.9565864457685
253,Miles Robinson\Miles-Robinson,4,30251.880639892814,-3625.37441618892
254,Luis Robles\Luis-Robles,7,1691.9980102486684,8157.0834602453715
255,Angelo Rodríguez\Angelo-Rodriguez,5,-19366.941767823835,-244.0981408818569
256,Lucas Rodríguez\Lucas-Rodriguez,0,-2979.5287849597194,-2684.4096605082905
257,Memo Rodriguez\Memo-Rodriguez,2,-13891.468382613071,300.29887992265196
258,Víctor Rodríguez\Victor-Rodriguez,5,-14380.37813516379,125.032582624974
259,Cristian Roldan\Cristian-Roldan,8,16097.787810216563,-4134.898250668823
260,Eloy Room\Eloy-Room,2,-11077.480820506986,2857.944261289924
261,Wayne Rooney\Wayne-Rooney,3,5483.410297684168,-1249.3457169091178
262,Andy Rose\Andy-Rose,6,-2164.306080899759,-1717.4860239639015
263,Oriol Rosell\Oriol-Rosell,6,602.7127260847616,-1851.334360727131
264,Keegan Rosenberry\Keegan-Rosenberry,1,12865.743104973379,3723.530265118422
265,Diego Rossi\Diego-Rossi,0,-4389.479357565288,-2419.323026048668
266,Brian Rowe\Brian-Rowe,7,9780.971124354812,9289.008135186508
267,Daniel Royer\Daniel-Royer,2,-12812.446472207552,583.6263805949754
268,Ruan\Ruan,0,-5638.238382921578,393.41321869106065
269,Diego Rubio\Diego-Rubio,2,-10452.850745070125,-548.8690254867147
270,Raúl Ruidíaz\Raul-Ruidiaz,5,-16809.47197211542,-991.6775359450547
271,Albert Rusnák\Albert-Rusnak,3,6644.9471231909665,-3181.086353379433
272,Johnny Russell\Johnny-Russell,0,-6668.888887291142,122.48473573475687
273,Marc Rzatkowski\Marc-Rzatkowski,6,-876.5699642856334,1336.383264178931
274,Bacary Sagna\Bacary-Sagna,3,7212.488593682467,667.1933708462582
275,Shea Salinas\Shea-Salinas,2,-9764.521409814504,-339.68643364443653
276,Dániel Sallói\Daniel-Salloi,5,-16293.532523588672,-553.8166791907922
277,Ilie Sánchez\Ilie-Sanchez,8,23547.644937195684,-4700.390779576382
278,James Sands\James-Sands,0,-3476.8709553056974,-1616.4672294217503
279,Lamine Sané\Lamine-Sane,3,5910.656108955956,637.0746580801829
280,Harold Santiago Mosquera\Harold-Santiago-Mosquera,2,-13474.909138230152,-297.3384327649865
281,Pedro Santos\Pedro-Santos,6,910.7455981953323,182.23077633018357
282,C.J. Sapong\CJ-Sapong,5,-15457.29151922468,-775.0869748720522
283,Sebastián Saucedo\Sebastian-Saucedo,2,-12222.985422310267,-557.4713114159863
284,Gastón Sauro\Gaston-Sauro,0,-6281.984763502026,196.66070038448427
285,Jefferson Savarino\Jefferson-Savarino,0,-5415.598538850947,-1920.0978351114368
286,Bastian Schweinsteiger\Bastian-Schweinsteiger,4,27819.076062065782,-704.9502156181919
287,Eddie Segura\Eddie-Segura,4,30382.025942792665,150.87370877754205
288,Ulises Segura\Ulises-Segura,2,-12029.51854632168,-248.71538827681843
289,Brandon Servania\Brandon-Servania,2,-11579.745085107268,-1123.195697757192
290,Andre Shinyashiki\Andre-Shinyashiki,5,-15616.451528796397,161.66927410654554
291,Harry Shipp\Harry-Shipp,2,-9108.725706018413,-319.5935387899785
292,Shamit Shome\Shamit-Shome,2,-10725.113941761603,-696.2970011072435
293,Marcelo Silva\Marcelo-Silva,0,-8489.28454169156,-477.7430172913046
294,Seth Sinovic\Seth-Sinovic,6,1725.9638701449717,14.894596325272122
295,Jørgen Skjelvik\Jorgen-Skjelvik,0,-8465.95567679087,872.3551498678474
296,Brad Smith\Brad-Smith,6,1729.2386578296957,708.8382653690779
297,Kyle Smith\Kyle-Smith,2,-9194.78232842172,928.6527457044015
298,Tommy Smith\Tommy-Smith,6,-715.8213992598168,1273.181043915801
299,Caleb Stanko\Caleb-Stanko,0,-6766.68136725827,-1218.9216734521149
300,Zack Steffen\Zack-Steffen,2,-9844.884477076062,3734.21629822318
301,Daniel Steres\Daniel-Steres,1,14609.169725967682,1396.9511031298703
302,Aljaž Struna\Aljaz-Struna,1,12374.623809421062,-314.0799842841033
303,Gustav Svensson\Gustav-Svensson,3,9045.800839969903,-1523.154564526686
304,Ben Sweat\Ben-Sweat,0,-7575.7414067253185,593.4820186821177
305,Saphir Taïder\Saphir-Taider,8,22377.520747340728,-6560.270915151848
306,Amro Tarek\Amro-Tarek,5,-15313.33086564502,1719.0877297747238
307,Russell Teibert\Russell-Teibert,0,-4421.51433701118,-1401.5855903064887
308,Tommy Thompson\Tommy-Thompson,3,9426.490389765599,-580.5180880178518
309,Anton Tinnerholm\Anton-Tinnerholm,3,8511.537625952355,1418.0736566556216
310,Donny Toia\Donny-Toia,3,4453.415667010395,1649.7874239243033
311,Román Torres\Roman-Torres,2,-10184.975180609074,834.2458933355464
312,Wil Trapp\Wil-Trapp,8,19520.277131726092,-2744.319465945888
313,Auston Trusty\Auston-Trusty,6,2936.059461209865,71.23372033717561
314,Bill Tuiloma\Bill-Tuiloma,6,487.3443171864915,-37.33734771662103
315,Matt Turner\Matt-Turner,0,-4763.09877701391,5900.932477153679
316,Przemysław Tytoń\Przemyslaw-Tyton,0,-7653.188359686595,4245.554092866502
317,Victor Ulloa\Victor-Ulloa,6,2448.146099370589,-2287.713155316344
318,Maximiliano Urruti\Maximiliano-Urruti,2,-12528.549751810411,-1371.3053341137952
319,Zarek Valentin\Zarek-Valentin,6,1636.3274710841515,-134.10594548809257
320,Diego Valeri\Diego-Valeri,3,9845.21335927553,-1059.756517890262
321,Carlos Vela\Carlos-Vela,6,-1045.7441416467593,-394.5002430296357
322,Lucas Venuto\Lucas-Venuto,5,-17845.01019707133,-501.0413591899877
323,Matías Vera\Matias-Vera,8,17252.743014463606,-5474.069011165686
324,Jorge Villafaña\Jorge-Villafana,6,-364.9207630168898,790.7173069634791
325,Sam Vines\Sam-Vines,0,-5050.804948199701,1626.266132559834
326,Kai Wagner\Kai-Wagner,1,11184.341037379801,-759.2192776452619
327,Kendall Waston\Kendall-Waston,3,8738.033593400745,580.4276587013511
328,Quentin Westberg\Quentin-Westberg,9,14457.66687110179,8608.72637857498
329,Brian White\Brian-White,5,-20938.11681425183,10.003120272832508
330,Josh Williams\Josh-Williams,0,-4447.710100835541,1024.6771954235448
331,Joe Willis\Joe-Willis,7,3138.3398346266795,6401.959316483811
332,Danny Wilson\Danny-Wilson,2,-11603.50498048744,272.04294834690194
333,Chris Wondolowski\Chris-Wondolowski,5,-18296.319476408324,-662.4346227786676
334,Bradley Wright-Phillips\Bradley-Wright-Phillips,5,-20180.57212193888,86.02427052220051
335,Jackson Yueill\Jackson-Yueill,4,28827.057904604335,-4795.11847798029
336,Wilfried Zahibo\Wilfried-Zahibo,0,-5670.452348013031,214.6537795655423
337,Gyasi Zardes\Gyasi-Zardes,5,-17857.717584630867,-801.867373677901
338,Eriq Zavaleta\Eriq-Zavaleta,0,-6587.510238923031,-986.312972600684
339,Reto Ziegler\Reto-Ziegler,4,37987.76648806757,-1036.6913637373605
340,Walker Zimmerman\Walker-Zimmerman,1,11840.600615097637,1636.2038454035853
341,Graham Zusi\Graham-Zusi,8,18029.11614988619,-632.1186253509286
