Rk,Player,Nation,Pos,Squad,Born,Min,CrdY,Ast,G-PK,xG,xA,npxG,npxG+xA,Sh/90,SoT/90,G/SoT,TotCmp%,TotDist,PrgDist,ShortCmp%,MedCmp%,LongCmp%,Prog,Live,Dead,TB,Press,Sw,Crs,Ground,Low,High,Left,Right
177,Raheem Edwards\Raheem-Edwards,ca CAN,DF,Chicago,1995,245,2,0,0.37,0.19,0.09,0.19,0.28,2.2,1.1,0.33,81.5,1927,795,37.5,88.3,71.4,9,114,16,0,13,4,2,93,13,24,93,14
178,Alberth Elis\Alberth-Elis,hn HON,FWMF,Houston,1996,1923,6,0.37,0.33,0.47,0.34,0.4,0.74,3.6,1.4,0.23,71.1,6225,1850,20,78,50,68,547,35,5,156,13,33,396,108,78,20,480
179,Jack Elliott\Jack-Elliott,eng ENG,DF,Philadelphia,1995,3060,4,0,0.06,0.08,0.02,0.08,0.1,0.68,0.29,0.2,84,33206,12577,25,90.8,76.9,117,1606,47,0,202,73,5,1194,149,310,196,1335
180,Tsubasa Endoh\Tsubasa-Endoh,jp JPN,FWMF,Toronto FC,1993,873,1,0.21,0.31,0.18,0.13,0.18,0.31,1.86,0.93,0.33,79.5,4545,1100,41.7,87.8,53.6,38,327,24,0,59,15,36,254,35,62,64,273
181,Marcus Epps\Marcus-Epps,us USA,MFDF,NY Red Bulls,1995,110,0,0,0,0.04,0,0.04,0.04,1.64,0.82,0,59.3,396,148,14.3,72.1,0,6,48,6,0,17,0,4,35,11,8,2,41
182,Jon Erice\Jon-Erice,es ESP,MF,Vancouver,1986,1747,2,0.05,0,0.01,0.04,0.01,0.05,0.05,0,,87.4,19558,6715,57.1,91.9,77.1,116,1108,39,0,155,32,5,824,150,173,783,318
183,Magnus Eriksson\Magnus-Eriksson,se SWE,MF,San Jose,1990,2802,5,0.22,0.16,0.18,0.25,0.16,0.41,2.76,0.67,0.24,78.4,26150,7347,38.8,85.9,64.2,248,1608,191,15,296,81,146,1251,249,299,1377,331
184,Franco Escobar\Franco-Escobar,ar ARG,DF,Atlanta,1995,2013,9,0.09,0.04,0.04,0.07,0.04,0.11,0.31,0.09,0.5,83.9,18852,5581,14.8,88.1,77.3,89,980,192,1,147,23,25,754,217,201,127,797
185,Cristian Espinoza\Cristian-Espinoza,ar ARG,FWMF,San Jose,1995,2524,8,0.36,0.07,0.15,0.34,0.15,0.49,3.35,1.35,0.05,71.9,19913,5429,25,79.6,63,178,1240,167,2,268,78,209,951,225,231,186,1155
186,Roger Espinoza\Roger-Espinoza,hn HON,MF,Sporting KC,1986,1140,5,0.08,0,0.08,0.12,0.08,0.2,1.18,0.47,0,75,7712,2072,42.9,80.8,65.8,55,518,10,2,122,18,10,290,112,126,382,81
187,Derrick Etienne\Derrick-Etienne,ht HAI,FW,FC Cincinnati,1996,220,0,0,0,0.08,0.03,0.08,0.11,1.23,1.23,0,78.8,991,235,0,91.5,50,6,60,6,0,13,2,4,41,8,17,5,54
188,Derrick Etienne\Derrick-Etienne,ht HAI,FWMF,NY Red Bulls,1996,467,0,0.19,0.19,0.15,0.12,0.15,0.27,1.93,0.58,0.33,70.3,1861,559,42.9,79.9,35.5,15,165,7,2,35,6,15,115,28,29,26,134
189,Marco Fabián\Marco-Fabian,mx MEX,MFFW,Philadelphia,1989,1246,5,0.07,0.36,0.5,0.15,0.28,0.43,4.41,1.08,0.33,83.1,11728,2466,34.8,87.1,75.3,69,735,47,1,159,35,38,596,82,104,66,687
190,Fabinho\Fabinho,br BRA,DF,Philadelphia,1985,90,0,0,0,0.03,0,0.03,0.03,2,0,,78.4,464,177,,83.9,50,2,23,14,0,6,1,2,18,3,16,21,3
191,Diego Fagúndez\Diego-Fagundez,uy URU,MFFW,New England,1995,1175,2,0.23,0.15,0.19,0.14,0.13,0.27,1.53,0.54,0.29,79,7761,2373,40.9,85.2,65.4,63,530,32,1,77,6,23,403,75,84,23,513
192,Rod Fanni\Rod-Fanni,fr FRA,DF,Montreal,1981,270,0,0,0,0,0.03,0,0.03,0,0,,84.2,2504,912,50,86.7,82.6,3,129,4,0,24,7,0,85,22,26,3,119
193,Marco Farfan\Marco-Farfan,us USA,DF,Portland,1998,189,2,0,0,0,0.01,0,0.01,0,0,,76.8,1257,446,100,78.3,71.4,5,59,23,0,7,1,1,42,10,30,45,10
194,Andrew Farrell\Andrew-Farrell,us USA,DF,New England,1992,2602,7,0.03,0,0,0.02,0,0.02,0.03,0,,76.6,19900,9615,40,87.1,62.2,130,1075,110,3,143,42,14,715,167,303,65,969
195,Benny Feilhaber\Benny-Feilhaber,us USA,MF,Sporting KC,1985,1100,3,0.08,0.16,0.14,0.13,0.14,0.26,1.47,0.33,0.5,85,9558,2551,40,89.2,76.9,71,537,42,4,93,25,14,410,94,75,31,520
196,Benny Feilhaber\Benny-Feilhaber,us USA,MF,Colorado,1985,619,3,0.29,0.29,0.16,0.09,0.16,0.25,1.31,0.29,1,81.9,4591,1390,60,89,61.8,35,279,30,2,66,12,11,225,44,40,5,294
197,Felipe\Felipe,br BRA,MF,Vancouver,1990,1142,5,0,0.08,0.1,0.05,0.1,0.15,0.79,0.24,0.33,86,10181,2157,50,93.5,71.8,39,595,28,0,109,19,10,458,76,89,72,536
198,Felipe\Felipe,br BRA,MF,D.C. United,1990,774,1,0,0,0.02,0.05,0.02,0.07,0.35,0.12,0,81.9,8077,2473,25,90.7,64.5,46,436,45,1,69,26,22,339,40,102,50,411
